WKT,f_code,acc,exs,soc
"LINESTRING (136.069832836464 20.4254467840398,136.069899434303 20.4254103630917,136.069949843243 20.4253671926931,136.069988677038 20.4253128058163,136.070005355028 20.4252276877457,136.069977639893 20.4251402383431,136.069941708036 20.4250773412896,136.069816777989 20.4250148681146,136.069672219105 20.4250237858669,136.069565939714 20.4251176260535,136.069548691118 20.4251696326893,136.069526926585 20.4252859547414,136.069556190507 20.4253539546404,136.069618631076 20.4254039723076,136.069665078382 20.4254342633199,136.069697211636 20.4254432136782,136.069759391356 20.4254551474893,136.069832836464 20.4254467840398)",BA010,"1","1",JPN
"LINESTRING (136.081211986188 20.4258104881267,136.081278584027 20.4257740997847,136.081328992967 20.42573089678,136.081367826762 20.4256765099033,136.081368609307 20.4256073361868,136.081369505973 20.4255267992649,136.081298506318 20.4254215632669,136.081195927712 20.4253785885045,136.081051368829 20.4253875225598,136.080971223179 20.4254409475584,136.080945089437 20.4254813627465,136.080914407152 20.42556876324,136.080915695091 20.4256500827068,136.080947339254 20.4257094746109,136.0809977808 20.4257676926976,136.081044228106 20.4257980000129,136.081076361359 20.4258069177652,136.08113854108 20.4258188841823,136.081211986188 20.4258104881267)",BA010,"1","1",JPN
"LINESTRING (123.790802007026 24.0447330606226,123.794296266041 24.0455322346932,123.797996513721 24.0475998000708,123.803695674759 24.0489997893602,123.807296751165 24.0562667955877,123.808395395421 24.0623340625281,123.802497859229 24.0664653783764,123.785301221143 24.0706005091315,123.772399907294 24.0692005198421,123.76529694206 24.0657997097416,123.764297485381 24.0664653783764,123.757598867664 24.0624008233975,123.753997807561 24.0621337962229,123.752502445602 24.0599327091065,123.752098081781 24.0510005938683,123.75970458211 24.0473995174625,123.776298513826 24.0462665553478,123.782203663529 24.0457992618679,123.790802007026 24.0447330606226)",BA010,"1","1",JPN
"LINESTRING (123.553794855851 24.191400528203,123.560401915804 24.192266463143,123.56770323989 24.1943340285206,123.566497794546 24.19526672433,123.563102723109 24.1949329362859,123.562698359288 24.1956653657901,123.559501646703 24.1939334796071,123.553794855851 24.191400528203)",BA010,"1","1",JPN
"LINESTRING (123.927001940887 24.2087326117834,123.932098395556 24.2087993563498,123.934997545409 24.2158660962721,123.931999207978 24.2206001347926,123.926399234518 24.2196674389831,123.923400864481 24.2198677052884,123.919700633104 24.2157993354027,123.927001940887 24.2087326117834)",BA010,"1","1",JPN
"LINESTRING (123.935203550377 24.2240676894595,123.940597535172 24.2254009178794,123.953002927438 24.2376670823487,123.948600769508 24.2418003056504,123.941497804274 24.2368679082781,123.937500010164 24.2336654733324,123.935203550377 24.2240676894595)",BA010,"1","1",JPN
"LINESTRING (141.460098830948 24.2251590136595,141.456931382284 24.225109533992,141.454300498636 24.2261603614888,141.453450067868 24.2290881720522,141.453554651745 24.232712235717,141.453592784511 24.2359232786576,141.454300498636 24.2391589554623,141.455273609633 24.242283967363,141.458893385604 24.2450259560974,141.461904667632 24.2450689960718,141.471497153024 24.2418273360586,141.472880007838 24.2406060604812,141.472794139829 24.2379611399316,141.471884398672 24.2327020952382,141.469391438578 24.2278941551253,141.465087571559 24.2261041975828,141.460098830948 24.2251590136595)",BA010,"1","1",JPN
"LINESTRING (124.010704045274 24.2198677052884,124.027099601835 24.2319335871494,124.027198789413 24.2437324581387,124.02200316347 24.2489337901391,124.017799380695 24.2461337952573,124.013801570282 24.2461337952573,123.998298636706 24.2528667471355,123.996803274746 24.2529334917019,123.98950195066 24.2465991975869,123.99140167644 24.2367992399553,123.996803274746 24.2290000868318,124.002799982213 24.2201328250096,124.010704045274 24.2198677052884)",BA010,"1","1",JPN
"LINESTRING (153.985501119875 24.280878531946,153.982468154829 24.2810314379764,153.977185307725 24.2831445702966,153.970560363359 24.2847437009828,153.974215516884 24.2881704328861,153.97804198255 24.2908832229105,153.981486109776 24.294748196311,153.982496701418 24.296423054528,153.984097299376 24.2976784686305,153.985180961156 24.2972226198711,153.984866834555 24.2945669230248,153.98526663353 24.2900836575675,153.986865747913 24.2823164583644,153.985501119875 24.280878531946)",BA010,"1","1",JPN
"LINESTRING (124.143402090306 24.3283329078708,124.149200438922 24.3293323482467,124.148704533641 24.3319339679736,124.139900201478 24.3305339786842,124.143402090306 24.3283329078708)",BA010,"1","1",JPN
"LINESTRING (124.080497749319 24.3096675958705,124.088905331172 24.3114662103169,124.097900392373 24.3181324013257,124.092803954007 24.3297328971602,124.091102587079 24.3339996258977,124.089904787851 24.3332672126965,124.085800160047 24.3365325936048,124.081398002118 24.3381328655024,124.079399105063 24.3365325936048,124.0761032049 24.3294010165695,124.073005679892 24.3232669724566,124.075599669805 24.312665933301,124.080497749319 24.3096675958705)",BA010,"1","1",JPN
"LINESTRING (123.929397588252 24.3408660832117,123.932800289502 24.3413333929947,123.933799746181 24.3423328333705,123.933204653323 24.345733643471,123.931800832824 24.3430671703281,123.929397588252 24.3408660832117)",BA010,"1","1",JPN
"LINESTRING (123.988800056713 24.3229332007156,123.993301385918 24.3236656302198,123.996803274746 24.3250007660931,124.001998900689 24.3271331848867,123.999603269628 24.332866663783,123.996803274746 24.3342666530724,123.991195671472 24.3365325936048,123.987594611369 24.3426666214146,123.991500864018 24.3449993065134,123.977401734637 24.3526668453515,123.970001222974 24.3533325139862,123.962097159913 24.3489322635099,123.963996885693 24.3455333608628,123.967796320951 24.3409328440811,123.967201228092 24.3376007023035,123.963195804169 24.3365325936048,123.95580292232 24.3348007074217,123.951904299485 24.3353328706207,123.951202405538 24.3321323431284,123.960800173108 24.3325328920419,123.986099249409 24.3287334404813,123.988800056713 24.3229332007156)",BA010,"1","1",JPN
"LINESTRING (123.7394027729 24.344932561947,123.742599485486 24.3481998340057,123.741302498681 24.3537998237692,123.737495417306 24.3575324981574,123.729896546791 24.3605327593444,123.731101992135 24.3625984172685,123.731697084994 24.3635330205314,123.729103095081 24.3644657163408,123.726699834206 24.362133014939,123.722503648638 24.3637333031396,123.723701480472 24.3567333240868,123.7394027729 24.344932561947)",BA010,"1","1",JPN
"LINESTRING (124.000701913884 24.359933851579,124.001998900689 24.3617992431979,123.996803274746 24.3656673467783,123.994499201448 24.3624000584167,123.996803274746 24.3603992539085,124.000701913884 24.359933851579)",BA010,"1","1",JPN
"LINESTRING (123.717102050333 24.3643989554714,123.718200678286 24.3654651567167,123.719200134965 24.3650665315596,123.718795771145 24.37199973344,123.722297659973 24.37586594587,123.726997380635 24.3754005435405,123.726898193057 24.3766002665246,123.722503648638 24.3789997124929,123.7108993542 24.37586594587,123.709999085099 24.3694667820359,123.717102050333 24.3643989554714)",BA010,"1","1",JPN
