Country,City,AccentCity,Region,Population,Latitude,Longitude,Test3,Prefecture
jp,a,A,47,,26.606111,127.923889,26.606111,okinawa
jp,abamachi,Abamachi,27,,32.75,129.95,32.75,nagasaki
jp,abana,Abana,27,,32.75,129.95,32.75,nagasaki
jp,abashiri,Abashiri,12,42498,44.019722,144.258611,44.019722,hokkaido
jp,abasiri,Abasiri,12,,44.019722,144.258611,44.019722,hokkaido
jp,abatu,Abatu,12,,42.553889,140.757222,42.553889,hokkaido
jp,abe,Abe,39,,33.783333,134.633333,33.783333,tokushima
jp,abe,Abe,47,,26.537778,128.088333,26.537778,okinawa
jp,abeta,Abeta,23,,34.6,136.066667,34.6,mie
jp,abi,Abi,39,,33.783333,134.633333,33.783333,tokushima
jp,abika,Abika,19,,35.568611,139.218611,35.568611,kanagawa
jp,abiko,Abiko,4,131774,35.866667,140.016667,35.866667,chiba
jp,abira,Abira,12,,42.816667,141.833333,42.816667,hokkaido
jp,abo,Abo,23,,34.666667,136.166667,34.666667,mie
jp,aboshi,Aboshi,13,,34.783333,134.583333,34.783333,hyogo
jp,abu,Abu,39,,33.783333,134.633333,33.783333,tokushima
jp,abu,Abu,45,,34.5,131.466667,34.5,yamaguchi
jp,abu,Abu,47,,26.537778,128.088333,26.537778,okinawa
jp,abukanai,Abukanai,12,,44.2,143.183333,44.2,hokkaido
jp,aburakawa,Aburakawa,3,,40.85,140.7,40.85,aomori
jp,aburatsu,Aburatsu,12,,44.019722,144.258611,44.019722,hokkaido
jp,aburatsu,Aburatsu,25,,31.533333,131.35,31.533333,miyazaki
jp,abuta,Abuta,12,,42.553889,140.757222,42.553889,hokkaido
jp,abuura,Abuura,39,,33.783333,134.633333,33.783333,tokushima
jp,achigaya,Achigaya,37,,34.833333,138.2,34.833333,shizuoka
jp,achisu,Achisu,45,,34.003333,131.354444,34.003333,yamaguchi
jp,ada,Ada,47,,26.745125,128.315458,26.745125,okinawa
jp,adakai,Adakai,36,,35.433333,133.133333,35.433333,shimane
jp,adakaya,Adakaya,36,,35.433333,133.133333,35.433333,shimane
jp,adami,Adami,8,,37.483333,140.266667,37.483333,fukushima
jp,adaniya,Adaniya,47,,26.290556,127.786111,26.290556,okinawa
jp,adanniya,Adanniya,47,,26.290556,127.786111,26.290556,okinawa
jp,adashika,Adashika,23,,33.933333,136.15,33.933333,mie
jp,adasika,Adasika,23,,33.933333,136.15,33.933333,mie
jp,adawa,Adawa,23,,33.8,136.033333,33.8,mie
jp,adigasawa,Adigasawa,3,,40.774444,140.203056,40.774444,aomori
jp,adino,Adino,31,,34.466667,133.8,34.466667,okayama
jp,aeba,Aeba,35,,35.366667,136.033333,35.366667,shiga
jp,aenae,Aenae,12,,42.054722,139.442222,42.054722,hokkaido
jp,afuso,Afuso,47,,26.492778,127.885556,26.492778,okinawa
jp,afusu,Afusu,47,,26.492778,127.885556,26.492778,okinawa
jp,afutoromanai,Afutoromanai,12,,45.2,141.316667,45.2,hokkaido
jp,afuwa,Afuwa,47,,26.715883,128.284681,26.715883,okinawa
jp,afuwacha,Afuwacha,47,,26.242778,127.721944,26.242778,okinawa
jp,afuwari,Afuwari,47,,26.170556,127.340278,26.170556,okinawa
jp,aga,Aga,11,,34.233333,132.6,34.233333,hiroshima
jp,aga,Aga,41,,35.35,133.333333,35.35,tottori
jp,agacho,Agacho,11,,34.233333,132.6,34.233333,hiroshima
jp,agamachi,Agamachi,11,,34.233333,132.6,34.233333,hiroshima
jp,agami,Agami,27,,34.15,129.266667,34.15,nagasaki
jp,agano,Agano,29,,37.773916,139.221922,37.773916,niigata
jp,aganuma,Aganuma,8,,37.366667,140.433333,37.366667,fukushima
jp,agare,Agare,18,,28.316667,129.933333,28.316667,kagoshima
jp,agarie,Agarie,47,,26.583611,127.985278,26.583611,okinawa
jp,agari-e-kami,Agari-e-kami,47,,26.7075,127.803889,26.7075,okinawa
jp,agariemae,Agariemae,47,,26.7075,127.803889,26.7075,okinawa
jp,agarieue,Agarieue,47,,26.717222,127.806111,26.717222,okinawa
jp,agarii,Agarii,47,,26.583611,127.985278,26.583611,okinawa
jp,agari-ie,Agari-Ie,47,,26.717222,127.806111,26.717222,okinawa
jp,agarii-mae,Agarii-mae,47,,26.7075,127.803889,26.7075,okinawa
jp,agarii-mee,Agarii-mee,47,,26.7075,127.803889,26.7075,okinawa
jp,agarisuji,Agarisuji,47,,24.237424,124.015556,24.237424,okinawa
jp,agariuebaru,Agariuebaru,47,,26.685881,127.930658,26.685881,okinawa
jp,agariuibaru,Agariuibaru,47,,26.685881,127.930658,26.685881,okinawa
jp,agawa,Agawa,45,,34.333333,130.933333,34.333333,yamaguchi
jp,age,Age,2,,39.333333,140.45,39.333333,akita
jp,ageda,Ageda,47,,26.334444,127.806111,26.334444,okinawa
jp,agei,Agei,41,,35.45,133.85,35.45,tottori
jp,ageki,Ageki,23,,35.15,136.516667,35.15,mie
jp,agematsu,Agematsu,26,,35.783333,137.7,35.783333,nagano
jp,agena,Agena,47,,26.370556,127.851111,26.370556,okinawa
jp,ageno,Ageno,6,,35.71,136.093333,35.71,fukui
jp,agenosho,Agenosho,45,,33.883333,132.266667,33.883333,yamaguchi
jp,agenoshomachi,Agenoshomachi,45,,33.883333,132.266667,33.883333,yamaguchi
jp,agenoura,Agenoura,45,,33.9,132.283333,33.9,yamaguchi
jp,ageo,Ageo,34,219405,35.969722,139.588611,35.969722,saitama
jp,ageomura,Ageomura,34,,35.969722,139.588611,35.969722,saitama
jp,agida,Agida,47,,26.334444,127.806111,26.334444,okinawa
jp,aginaa,Aginaa,47,,26.370556,127.851111,26.370556,okinawa
jp,agina,Agina,47,,26.370556,127.851111,26.370556,okinawa
jp,ago,Ago,43,,33.6,135.483333,33.6,wakayama
jp,aguchi,Aguchi,31,,35.016667,133.633333,35.016667,okayama
jp,aguni,Aguni,47,,26.576389,127.221389,26.576389,okinawa
jp,agura,Agura,20,,33.516667,134.166667,33.516667,kochi
jp,aha,Aha,47,,26.715883,128.284681,26.715883,okinawa
jp,ahacha,Ahacha,47,,26.242778,127.721944,26.242778,okinawa
jp,ahare,Ahare,47,,26.170556,127.340278,26.170556,okinawa
jp,aharen,Aharen,47,,26.170556,127.340278,26.170556,okinawa
jp,aho,Aho,23,,34.666667,136.166667,34.666667,mie
jp,ahuso,Ahuso,47,,26.492778,127.885556,26.492778,okinawa
jp,ai,Ai,36,,35.133333,132.95,35.133333,shimane
jp,aiba,Aiba,35,,35.366667,136.033333,35.366667,shiga
jp,aibetsu,Aibetsu,12,,43.9,142.583333,43.9,hokkaido
jp,aiboshima,Aiboshima,12,,42.483333,143.433333,42.483333,hokkaido
jp,aida,Aida,5,,34.165278,133.036389,34.165278,ehime
jp,aida,Aida,26,,36.35,138,36.35,nagano
jp,aidamari,Aidamari,12,,42.116667,140.016667,42.116667,hokkaido
jp,aidomari,Aidomari,3,,41.5,139.366667,41.5,aomori
jp,aidomari,Aidomari,12,,44.183333,145.333333,44.183333,hokkaido
jp,aiga,Aiga,23,,34.1,136.216667,34.1,mie
jp,aigadani,Aigadani,23,,33.933333,136.1,33.933333,mie
jp,aigatani,Aigatani,23,,33.933333,136.1,33.933333,mie
jp,aihama,Aihama,4,,34.916667,139.816667,34.916667,chiba
jp,aihara,Aihara,19,,35.6,139.316667,35.6,kanagawa
jp,aika,Aika,36,,35.466667,132.95,35.466667,shimane
jp,aikamachi,Aikamachi,36,,35.466667,132.95,35.466667,shimane
jp,aikawa,Aikawa,6,,36.083333,136.033333,36.083333,fukui
jp,aikawa,Aikawa,16,,38.966667,141.216667,38.966667,iwate
jp,aikawa,Aikawa,24,,38.6,141.5,38.6,miyagi
jp,aikawa,Aikawa,29,,38.033333,138.25,38.033333,niigata
jp,aimata,Aimata,10,,36.716667,138.9,36.716667,gunma
jp,aimi,Aimi,1,,35.033333,137.016667,35.033333,aichi
jp,aimoto,Aimoto,13,,34.966667,135.15,34.966667,hyogo
jp,aimoto,Aimoto,42,,36.85,137.55,36.85,toyama
jp,aimoto-shin,Aimoto-shin,42,,36.866667,137.55,36.866667,toyama
jp,aino,Aino,27,,32.816667,130.15,32.816667,nagasaki
jp,ainohama,Ainohama,4,,34.916667,139.816667,34.916667,chiba
jp,ainokama,Ainokama,24,,38.124722,140.933333,38.124722,miyagi
jp,ainonai,Ainonai,12,,43.791944,143.756111,43.791944,hokkaido
jp,ainono,Ainono,2,,39.266667,140.616667,39.266667,akita
jp,ainoura,Ainoura,27,,33.2,129.65,33.2,nagasaki
jp,ainouracho,Ainouracho,27,,33.2,129.65,33.2,nagasaki
jp,ainoura-machi,Ainoura-machi,27,,33.2,129.65,33.2,nagasaki
jp,ainuma,Ainuma,12,,42.083333,140.066667,42.083333,hokkaido
jp,ainumanai,Ainumanai,12,,42.083333,140.066667,42.083333,hokkaido
jp,aioi,Aioi,12,,43.583333,143.983333,43.583333,hokkaido
jp,aioi,Aioi,13,32394,34.803611,134.468056,34.803611,hyogo
jp,aioicho,Aioicho,27,,33.166667,129.716667,33.166667,nagasaki
jp,aioicho,Aioicho,37,,35.016667,138.483333,35.016667,shizuoka
jp,aioimachi,Aioimachi,37,,35.016667,138.483333,35.016667,shizuoka
jp,aioi-shi,Aioi-shi,13,,34.803611,134.468056,34.803611,hyogo
jp,aioura,Aioura,45,,34,131.433333,34,yamaguchi
jp,airakuen,Airakuen,47,,26.672778,128.018333,26.672778,okinawa
jp,aire,Aire,27,,32.666667,130.3,32.666667,nagasaki
jp,aisai,Aisai,1,,35.163495,136.732218,35.163495,aichi
jp,aisari,Aisari,16,,39.25,141.116667,39.25,iwate
jp,aisaricho,Aisaricho,16,,39.25,141.116667,39.25,iwate
jp,aisarimachi,Aisarimachi,16,,39.25,141.116667,39.25,iwate
jp,aisarimatsu,Aisarimatsu,16,,39.25,141.116667,39.25,iwate
jp,aishima,Aishima,45,,34.5,131.283333,34.5,yamaguchi
jp,aita,Aita,26,,36.35,138,36.35,nagano
jp,aitomari,Aitomari,3,,41.5,139.366667,41.5,aomori
jp,aitomari,Aitomari,12,,44.183333,145.333333,44.183333,hokkaido
jp,aitsu,Aitsu,21,,32.5,130.433333,32.5,kumamoto
jp,aiuchi,Aiuchi,3,,41.05,140.366667,41.05,aomori
jp,aiura,Aiura,27,,33.2,129.65,33.2,nagasaki
jp,aizan,Aizan,12,,43.85,142.7,43.85,hokkaido
jp,aizu,Aizu,8,,37.55,139.983333,37.55,fukushima
jp,aizu,Aizu,21,,32.5,130.433333,32.5,kumamoto
jp,aizu-wakamatsu,Aizu-Wakamatsu,8,,37.491417,139.945456,37.491417,fukushima
jp,aja,Aja,47,,26.237675,127.691361,26.237675,okinawa
jp,aji,Aji,17,,34.383333,134.133333,34.383333,kagawa
jp,aji,Aji,24,,38.266667,141.466667,38.266667,miyagi
jp,ajigasawa,Ajigasawa,3,,40.774444,140.203056,40.774444,aomori
jp,ajihama,Ajihama,24,,38.266667,141.466667,38.266667,miyagi
jp,ajiki,Ajiki,4,,35.833333,140.233333,35.833333,chiba
